date,spend,daily_budget,rolling_7d,severity,campaign_id,campaign_name
2025-03-10,10.119572999999999,8926.22,12.217079285714286,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-11,13.008716999999997,8926.22,12.551617857142856,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-12,13.903692999999997,8926.22,12.89378257142857,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-13,13.699912999999999,8926.22,13.223593857142857,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-14,10.990936,8926.22,13.356458,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-15,15.777951,8926.22,13.257738999999999,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-16,15.373954999999999,8926.22,13.26781971428571,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-17,12.060587,8926.22,13.545107428571429,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-18,12.115344,8926.22,13.417482714285713,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-19,11.401691999999999,8926.22,13.060054,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-20,11.348103999999998,8926.22,12.724081285714286,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-21,10.865884000000001,8926.22,12.706216714285715,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-22,15.80724,8926.22,12.710400857142856,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-23,14.834572000000001,8926.22,12.633346142857144,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-24,13.416410999999998,8926.22,12.827035285714286,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-25,12.405976,8926.22,12.868554142857144,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-26,12.297143000000002,8926.22,12.996475714285713,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-27,11.109251000000002,8926.22,12.962353857142858,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-28,13.320578000000001,8926.22,13.31302442857143,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-29,15.846154999999998,8926.22,13.318583714285717,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-30,13.67179,8926.22,13.152472000000001,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-31,13.738694,8926.22,13.19851242857143,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-04-01,12.395603000000001,8926.22,13.19703057142857,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-04-02,12.49694,8926.22,13.225573,Critical,CAM00004,Ross Essentials | Video | Feb 2025
