campaign_id,campaign_name,campaign_type,daily_budget,target_acos,impressions,clicks,cart_adds,purchases,spend,ctr,cvr,cpc,revenue,roas,acos
CAM00004,Ross Essentials | Video | Feb 2025,Video,8926.22,0.492,192767,665,80,23,652.497271,0.003449760591802539,0.03458646616541353,0.9811989037593984,738.62,1.1319894087342475,0.8834004914570415
CAM00097,Smith-Bowen Essentials | Sponsored Brand | Jan 2025,Sponsored Brand,2610.19,0.317,56291,381,55,16,169.713053,0.006768399921834751,0.04199475065616798,0.44544108398950133,324.67,1.9130526159352046,0.5227247759263252
CAM00136,Smith-Bowen Essentials | Sponsored Product | Apr 2025,Sponsored Product,3375.81,0.237,72769,547,74,32,168.62019,0.007516937157305996,0.05850091407678245,0.30826360146252285,1160.07,6.879781122296208,0.1453534614290517
CAM00126,Hoffman Essentials | Sponsored Product | Feb 2024,Sponsored Product,3108.91,0.217,66755,528,77,23,160.077011,0.007909519886150851,0.043560606060606064,0.3031761571969697,648.31,4.049988164759023,0.2469143018000648
CAM00156,Blair PLC Consumer | Sponsored Brand | Jan 2024,Sponsored Brand,3346.68,0.313,64225,378,39,14,159.559918,0.005885558583106267,0.037037037037037035,0.42211618518518523,425.27000000000004,2.6652683539233206,0.3751967408940203
CAM00234,Blair PLC Consumer | Sponsored Brand | Dec 2024,Sponsored Brand,3331.65,0.372,64007,362,49,17,157.85736399999996,0.00565563141531395,0.04696132596685083,0.43607006629834244,488.9,3.0970997336557584,0.3228827244835344
CAM00005,Harrell LLC Consumer | Video | Dec 2024,Video,2587.59,0.486,49649,181,14,6,155.73850299999998,0.003645592056234768,0.03314917127071823,0.8604337182320441,184.06,1.1818528909321802,0.8461289959795718
CAM00265,Hoffman Essentials | Sponsored Product | Nov 2024,Sponsored Product,3082.83,0.276,66276,514,75,23,155.51824000000002,0.007755446918945018,0.04474708171206226,0.3025646692607004,787.48,5.063586110542403,0.1974884949459034
CAM00130,Doyle Ltd Brands | Video | May 2025,Video,2551.12,0.45,48998,170,17,8,150.462233,0.0034695293685456548,0.047058823529411764,0.8850719588235294,128.09,0.8513099762383561,1.1746602623155593
CAM00218,Baker Labs | Sponsored Brand | Sep 2024,Sponsored Brand,3042.79,0.307,58572,352,46,20,149.606188,0.006009697466366181,0.056818181818181816,0.42501757954545455,190.19,1.2712709450226751,0.7866143750985857
CAM00158,Flowers Foods | Sponsored Product | Jul 2024,Sponsored Product,2754.08,0.202,59294,490,82,25,144.986518,0.00826390528552636,0.05102040816326531,0.2958908530612245,371.98,2.5656178597240333,0.3897696596591214
CAM00208,Flowers Foods | Sponsored Product | Jan 2025,Sponsored Product,2708.96,0.209,58301,464,66,23,141.83600499999997,0.007958697106396117,0.04956896551724138,0.3056810452586206,407.84000000000003,2.8754334980035576,0.3477736489799921
CAM00116,Wilkerson-Day Consumer | Video | May 2024,Video,1837.58,0.559,39466,157,8,4,141.371992,0.003978107738306391,0.025477707006369428,0.9004585477707007,106.41,0.7526950599946275,1.3285592707452307
CAM00044,Wilkerson-Day Consumer | Video | May 2024,Video,1956.66,0.566,42065,140,7,1,141.134972,0.0033281825745869486,0.007142857142857143,1.008106942857143,13.34,0.09451945050160919,10.579832983508247
CAM00092,Flowers Foods | Sponsored Product | Jul 2024,Sponsored Product,2743.87,0.295,59347,465,64,24,141.104225,0.007835273897585388,0.05161290322580645,0.3034499462365592,350.19,2.481782526355961,0.40293619178160434
CAM00182,Allen-Allen Essentials | Video | May 2024,Video,2548.18,0.445,48709,142,22,3,140.875713,0.0029152723316019625,0.02112676056338028,0.9920824859154929,15.44,0.10960015513816779,9.124074676165803
CAM00070,Watts Labs | Display | Mar 2024,Display,3438.12,0.33,66121,214,23,7,129.277986,0.003236490676184571,0.03271028037383177,0.604102738317757,161.97,1.2528815230769452,0.7981600666790146
CAM00103,Williams and Sons Naturals | Sponsored Brand | Jun 2024,Sponsored Brand,2768.59,0.288,53484,274,36,8,126.926345,0.005123027447460923,0.029197080291970802,0.4632348357664233,165.98000000000002,1.3076875411483724,0.7647086697192432
CAM00192,Rodriguez-Graham Naturals | Sponsored Product | Aug 2024,Sponsored Product,2278.05,0.273,48650,451,66,33,126.62774100000001,0.009270298047276464,0.07317073170731707,0.28077104434589806,1193.45,9.4248700211749,0.10610225899702544
CAM00081,Anderson Group Naturals | Sponsored Brand | Jun 2024,Sponsored Brand,2702.34,0.385,51968,280,38,14,124.84020100000001,0.005387931034482759,0.05,0.44585786071428574,122.96,0.9849391383149085,1.0152911597267404
CAM00189,Doyle Ltd Brands | Sponsored Brand | Jan 2025,Sponsored Brand,2539.99,0.265,48552,284,37,13,122.53795600000001,0.005849398582962597,0.045774647887323945,0.43147167605633807,371.78,3.033998706490583,0.3295980310936576
CAM00183,Wilkerson-Day Consumer | Sponsored Brand | Mar 2025,Sponsored Brand,1840.4,0.314,39843,284,40,18,122.50286799999999,0.007127977310945461,0.06338028169014084,0.43134812676056333,518.4300000000001,4.23198255244114,0.23629587022355955
CAM00035,Anderson Group Naturals | Video | Apr 2025,Video,2135.14,0.331,40838,128,12,5,121.500702,0.0031343356677604193,0.0390625,0.949224234375,54.78,0.45086159255277386,2.217975575027382
CAM00281,Hoffman Essentials | Sponsored Product | Jul 2024,Sponsored Product,2319.91,0.204,50005,403,46,15,120.16108899999998,0.008059194080591942,0.03722084367245657,0.29816647394540935,403.96,3.3618203976164036,0.29745788939498957
CAM00105,Hoffman Essentials | Sponsored Product | Jan 2025,Sponsored Product,2261.46,0.223,48526,403,52,20,119.38841900000001,0.008304826278695956,0.04962779156327544,0.2962491786600497,600.61,5.03072245223383,0.19877860674980438
CAM00213,Allen-Allen Essentials | Display | Dec 2024,Display,3078.31,0.383,58954,199,22,11,117.42288300000001,0.0033755131119177664,0.05527638190954774,0.5900647386934674,201.07,1.7123578885386417,0.5839900681354753
CAM00282,Ross Essentials | Display | Mar 2025,Display,2501.39,0.358,53290,178,18,4,115.87618599999999,0.003340213923813098,0.02247191011235955,0.650989808988764,116.82,1.0081450212729646,0.9919207841123096
CAM00138,Dyer Labs | Display | Feb 2024,Display,3112.49,0.463,59336,189,15,5,114.85029099999998,0.0031852501011190508,0.026455026455026454,0.6076734973544973,255.32,2.2230679415518417,0.44982880698731
CAM00209,Smith-Bowen Essentials | Sponsored Brand | Nov 2024,Sponsored Brand,1806.69,0.253,38935,254,18,3,113.75474299999998,0.006523693335045589,0.011811023622047244,0.4478533188976377,41.230000000000004,0.3624464256404677,2.7590284501576514
CAM00006,Ross Essentials | Sponsored Product | Feb 2024,Sponsored Product,2150.85,0.3,46808,370,55,22,111.29410000000003,0.00790463168689113,0.05945945945945946,0.30079486486486495,903.65,8.119478031629706,0.12316062634869698
CAM00121,Martin Labs | Sponsored Product | Oct 2024,Sponsored Product,2687.03,0.238,51405,383,67,27,109.061744,0.007450637097558603,0.07049608355091384,0.2847565117493473,373.5,3.4246655729253694,0.29199931459170014
CAM00120,Rodriguez-Graham Naturals | Sponsored Product | May 2024,Sponsored Product,2149.15,0.261,46004,358,38,21,107.81263399999999,0.007781932005912529,0.05865921787709497,0.30115260893854745,710.33,6.588559927030445,0.15177823546802188
CAM00264,Martin Labs | Sponsored Product | Jan 2024,Sponsored Product,2473.41,0.273,47168,398,66,25,106.56627499999999,0.008437924016282225,0.06281407035175879,0.2677544597989949,406.32,3.812838536394371,0.2622717931679464
CAM00268,Ferrell Foods | Display | May 2024,Display,2872.09,0.347,55226,163,23,8,103.99697499999999,0.002951508347517474,0.049079754601226995,0.6380182515337423,22.25,0.21394853071447512,4.674021348314606
CAM00108,Frazier Inc Naturals | Video | Jun 2024,Video,1798.95,0.403,34612,108,15,7,102.50180999999998,0.0031203050964983244,0.06481481481481481,0.9490908333333331,111.27000000000001,1.0855418065300508,0.9211989754650847
CAM00040,Williams and Sons Naturals | Sponsored Product | Nov 2024,Sponsored Product,2530.07,0.263,48527,356,51,16,101.974666,0.007336122158798195,0.0449438202247191,0.28644569101123596,349.82,3.430459875200768,0.2915061059973701
CAM00195,Williams and Sons Naturals | Display | Dec 2024,Display,2646.08,0.337,50856,164,20,9,99.13039800000001,0.0032247915683498505,0.054878048780487805,0.6044536463414635,209.72,2.1155972762260067,0.4726797539576579
CAM00184,Smith-Bowen Essentials | Sponsored Product | Oct 2024,Sponsored Product,1945.91,0.241,41645,324,52,22,98.065019,0.007780045623724336,0.06790123456790123,0.3026698117283951,773.9399999999999,7.892110845356588,0.12670881334470374
CAM00129,Smith-Bowen Essentials | Sponsored Product | Sep 2024,Sponsored Product,1877.22,0.29,40645,318,41,17,96.04979999999999,0.007823840570795916,0.05345911949685535,0.3020433962264151,503.75,5.244675158095072,0.1906695781637717
CAM00098,Abbott-Munoz Naturals | Sponsored Product | Nov 2024,Sponsored Product,2358.61,0.245,45639,344,43,21,95.830045,0.007537413177326409,0.061046511627906974,0.27857571220930233,633.9300000000001,6.615148725016252,0.15116818102945118
CAM00298,Rodriguez-Graham Naturals | Sponsored Product | Nov 2024,Sponsored Product,1969.03,0.264,42242,304,38,11,95.58049199999999,0.007196628947493016,0.03618421052631579,0.3144095131578947,441.21999999999997,4.616213944577728,0.21662774126286205
CAM00147,Doyle Ltd Brands | Sponsored Product | Aug 2024,Sponsored Product,2228.61,0.171,42571,320,51,18,89.76507800000002,0.007516854196518757,0.05625,0.28051586875000006,287.43,3.202024733939405,0.3123023971053822
CAM00217,Watts Labs | Display | Jul 2024,Display,2457.94,0.442,47205,123,11,5,86.43530800000002,0.002605656180489355,0.04065040650406504,0.7027260813008132,160.53,1.8572271414825057,0.5384371020992962
CAM00030,Frazier Inc Naturals | Sponsored Product | Nov 2024,Sponsored Product,2148.52,0.248,41437,303,38,15,86.413832,0.007312305427516471,0.04950495049504951,0.28519416501650163,475.58000000000004,5.503517075831101,0.1817019891500904
CAM00289,Baker and Sons Naturals | Video | Oct 2024,Video,1488.64,0.448,28387,95,7,3,86.278098,0.0033466023179624478,0.031578947368421054,0.9081905052631579,45.9,0.532000601125908,1.8796971241830065
CAM00240,Martin Labs | Sponsored Product | Mar 2024,Sponsored Product,2085.62,0.171,40248,304,39,11,84.70330400000002,0.007553170343868018,0.03618421052631579,0.27862928947368426,137.32,1.6211882360574739,0.6168315176230703
CAM00197,Ryan PLC Foods | Sponsored Product | Feb 2024,Sponsored Product,2133.24,0.326,40872,286,48,15,82.90766500000002,0.006997455470737914,0.05244755244755245,0.28988694055944064,182.14,2.1969018184265585,0.45518647743494034
CAM00255,Anderson Group Naturals | Sponsored Product | May 2025,Sponsored Product,1991.17,0.277,38056,298,43,20,82.658867,0.00783056548244692,0.06711409395973154,0.27737874832214765,199.10999999999999,2.408815983408047,0.4151417156345739
CAM00107,Galloway-Wyatt Consumer | Display | May 2025,Display,2243.07,0.405,43036,120,6,1,80.21836700000001,0.00278836323078353,0.008333333333333333,0.6684863916666668,49.08,0.6118299565983435,1.6344410554197233
CAM00177,Harrell LLC Consumer | Sponsored Product | Feb 2024,Sponsored Product,1955.34,0.302,37602,284,37,14,78.968436,0.007552789745226318,0.04929577464788732,0.2780578732394366,647.3,8.19694592913047,0.12199665688243473
CAM00071,Harrell LLC Consumer | Video | Jan 2024,Video,1340.01,0.467,25389,86,6,5,77.53573499999999,0.003387293709874355,0.05813953488372093,0.9015783139534882,183.45,2.366005816543817,0.4226532297628781
CAM00087,Abbott-Munoz Naturals | Display | Jan 2024,Display,2113.96,0.359,40038,128,9,4,77.51959000000001,0.003196962885259004,0.03125,0.6056217968750001,154.69,1.9954955902114546,0.5011286443855454
CAM00157,Baker Labs | Sponsored Brand | Jan 2025,Sponsored Brand,1574.07,0.322,30304,173,22,4,74.739176,0.005708817317845829,0.023121387283236993,0.4320183583815029,34.11,0.45638715631545096,2.191122134271475
CAM00145,Frazier Inc Naturals | Sponsored Brand | Aug 2024,Sponsored Brand,1560.64,0.281,30057,169,21,7,74.049217,0.005622650297767575,0.04142011834319527,0.4381610473372781,151.97,2.052283685862607,0.48726207146147266
CAM00110,Allen-Allen Essentials | Display | Mar 2024,Display,1941.38,0.38,37327,117,13,5,71.81812799999999,0.0031344603102312,0.042735042735042736,0.6138301538461537,89.22,1.242304728410632,0.8049554808338936
CAM00089,Watts Labs | Video | Apr 2025,Video,1242.55,0.415,23951,77,8,0,71.53486600000001,0.0032148970815414806,0.0,0.9290242337662339,0.0,0.0,
CAM00062,Abbott-Munoz Naturals | Sponsored Brand | Mar 2025,Sponsored Brand,1529.79,0.294,29160,164,22,5,71.372783,0.005624142661179698,0.03048780487804878,0.4351998963414634,81.03999999999999,1.1354468271189593,0.8807105503455085
CAM00057,Galloway-Wyatt Consumer | Sponsored Brand | Apr 2025,Sponsored Brand,1466.14,0.332,28205,160,18,3,69.71157999999998,0.005672753057968445,0.01875,0.4356973749999999,64.12,0.9197897967597352,1.087204928259513
CAM00150,Baker Labs | Sponsored Product | Feb 2025,Sponsored Product,1727.41,0.26,33247,236,37,14,68.17604700000001,0.0070983848166751885,0.059322033898305086,0.28888155508474583,120.09,1.7614690977903131,0.5677079440419686
CAM00263,Blair PLC Consumer | Video | Sep 2024,Video,1070.92,0.519,20557,82,10,4,66.755723,0.0039889088874835825,0.04878048780487805,0.8140941829268293,107.75,1.6140938208399,0.6195426728538284
CAM00101,Harrell LLC Consumer | Video | Feb 2025,Video,1089.84,0.497,20918,79,6,3,65.41677900000002,0.00377665168754183,0.0379746835443038,0.8280604936708863,56.25,0.8598711348964458,1.1629649600000003
CAM00196,Abbott-Munoz Naturals | Sponsored Product | Oct 2024,Sponsored Product,1570.1,0.225,30136,235,32,13,65.169971,0.007797982479426599,0.05531914893617021,0.2773190255319149,364.96000000000004,5.600125247869145,0.17856743478737394
CAM00026,Baker and Sons Naturals | Display | Aug 2024,Display,1818.67,0.334,34851,97,10,6,64.63828,0.002783277380849904,0.061855670103092786,0.6663740206185567,50.97,0.7885420218483536,1.268163233274475
CAM00025,Watts Labs | Display | Mar 2024,Display,1670.35,0.372,32385,110,10,5,63.987414,0.0033966342442488806,0.045454545454545456,0.5817037636363637,317.51,4.962069571994268,0.20152881484047747
CAM00242,Dyer Labs | Sponsored Product | Apr 2024,Sponsored Product,1570.77,0.281,30293,229,26,7,63.773497,0.00755950219522662,0.03056768558951965,0.2784868864628821,266.08,4.172266106091062,0.2396779051413109
CAM00011,Blair PLC Consumer | Display | Jun 2024,Display,1651.64,0.429,31456,111,14,5,63.416525,0.0035287385554425227,0.04504504504504504,0.5713200450450451,180.07,2.8394807189451012,0.3521770700283223
CAM00266,Galloway-Wyatt Consumer | Display | Jan 2025,Display,1747.76,0.374,33339,84,12,4,60.129817,0.0025195716728156213,0.047619047619047616,0.7158311547619048,174.72,2.9057131505988116,0.34414959363553116
CAM00033,Anderson Group Naturals | Sponsored Brand | Dec 2024,Sponsored Brand,1093.43,0.278,20949,154,18,6,59.776343,0.0073511862141391,0.03896103896103896,0.3881580714285714,55.14,0.9224384971158239,1.0840831157054769
CAM00106,Doyle Ltd Brands | Sponsored Product | Dec 2024,Sponsored Product,1471.38,0.234,28332,205,18,4,58.39372899999999,0.007235634618099675,0.01951219512195122,0.28484745853658533,113.77000000000001,1.9483256498313375,0.5132612200052737
CAM00252,Galloway-Wyatt Consumer | Sponsored Product | Aug 2024,Sponsored Product,1352.01,0.237,25980,201,25,10,56.384421,0.0077367205542725175,0.04975124378109453,0.28051950746268656,275.44,4.8850373048966835,0.20470672741794949
CAM00231,Blair PLC Consumer | Sponsored Product | Aug 2024,Sponsored Product,1384.93,0.14,26779,199,29,10,56.064357,0.007431196086485679,0.05025125628140704,0.28173043718592966,441.89,7.881834799246873,0.12687401163185408
CAM00002,Abbott-Munoz Naturals | Sponsored Brand | Oct 2024,Sponsored Brand,1146.73,0.335,21992,132,16,5,55.714462999999995,0.006002182611858858,0.03787878787878788,0.4220792651515151,177.03,3.17745142764815,0.3147176354290233
CAM00061,Martin Labs | Video | Jan 2024,Video,902.62,0.458,17105,66,7,2,55.33960399999999,0.0038585209003215433,0.030303030303030304,0.8384788484848483,76.98,1.3910471784366223,0.7188828786697842
CAM00155,Ryan PLC Foods | Sponsored Product | Nov 2024,Sponsored Product,1366.05,0.325,26042,193,33,11,55.238879999999995,0.007411105137854235,0.05699481865284974,0.28621181347150254,118.5,2.1452281436553386,0.46615088607594934
CAM00288,Martin Labs | Sponsored Product | Mar 2025,Sponsored Product,1301.32,0.235,24826,200,32,11,54.68575599999999,0.008056070248932571,0.055,0.2734287799999999,183.83,3.3615700585724744,0.2974800413425447
CAM00296,Abbott-Munoz Naturals | Display | Jan 2024,Display,1517.21,0.435,29173,82,8,2,53.63501199999999,0.002810818222328866,0.024390243902439025,0.6540855121951218,77.27,1.4406634233623368,0.6941246538113108
CAM00186,Watts Labs | Sponsored Product | Nov 2024,Sponsored Product,1126.77,0.215,21602,202,25,10,51.279251,0.00935098601981298,0.04950495049504951,0.2538576782178218,306.15,5.970251008541446,0.16749714519026623
CAM00251,Baker Labs | Sponsored Product | Apr 2025,Sponsored Product,1129.36,0.251,21628,180,23,6,48.73776800000001,0.008322544849269465,0.03333333333333333,0.2707653777777778,46.88,0.9618823742605528,1.0396281569965873
CAM00032,Galloway-Wyatt Consumer | Sponsored Brand | Feb 2024,Sponsored Brand,994.29,0.285,18958,116,17,8,48.594297999999995,0.006118788901782889,0.06896551724137931,0.4189163620689655,288.32,5.933206402117385,0.16854293146503882
CAM00216,Dyer Labs | Sponsored Product | May 2025,Sponsored Product,1139.2,0.266,21915,178,33,11,48.293034999999996,0.0081222906684919,0.06179775280898876,0.2713091853932584,323.59,6.700552160368467,0.1492414320590871
CAM00297,Ryan PLC Foods | Display | Jan 2024,Display,1226.23,0.379,23544,87,9,1,48.126791,0.0036952089704383284,0.011494252873563218,0.5531815057471264,31.71,0.658884570134751,1.5177165247555975
CAM00016,Dyer Labs | Video | Jan 2025,Video,900.21,0.504,17255,43,2,1,47.804007,0.0024920312952767315,0.023255813953488372,1.1117210930232557,23.34,0.4882435901241501,2.0481579691516707
CAM00074,Baker and Sons Naturals | Sponsored Brand | Feb 2024,Sponsored Brand,983.86,0.25,18860,110,12,4,47.438464,0.005832449628844115,0.03636363636363636,0.4312587636363637,32.93,0.6941624416844525,1.440584998481628
CAM00148,Martin Labs | Sponsored Brand | Sep 2024,Sponsored Brand,977.81,0.311,18730,109,6,2,46.809011999999996,0.005819540843566471,0.01834862385321101,0.4294404770642201,23.240000000000002,0.49648559127887604,2.0141571428571425
CAM00299,Spence PLC Foods | Sponsored Brand | Aug 2024,Sponsored Brand,1154.85,0.285,20589,114,14,5,46.611452,0.005536937199475448,0.043859649122807015,0.40887238596491227,245.95000000000002,5.276600265531313,0.1895159666598902
CAM00237,Williams and Sons Naturals | Sponsored Brand | Jan 2024,Sponsored Brand,1008.14,0.401,19389,102,16,4,46.21496400000001,0.005260714838310383,0.0392156862745098,0.4530878823529413,124.65,2.6971783424953006,0.3707578339350181
CAM00020,Blake and Sons Naturals | Video | Feb 2024,Video,908.33,0.507,16120,52,4,2,45.037836000000006,0.0032258064516129032,0.038461538461538464,0.8661122307692308,64.71000000000001,1.4367919453323645,0.6959949930458971
CAM00046,Ferrell Foods | Display | Feb 2024,Display,1153.9,0.477,22024,80,4,1,44.67598600000001,0.003632401017072285,0.0125,0.5584498250000001,10.2,0.22831057382818584,4.3799986274509815
CAM00202,Carlson-Cruz Brands | Video | May 2024,Video,955.34,0.463,16623,49,5,3,44.596799999999995,0.002947723034349997,0.061224489795918366,0.910138775510204,30.78,0.6901840490797547,1.4488888888888887
CAM00056,Harrell LLC Consumer | Sponsored Product | May 2024,Sponsored Product,1105.37,0.231,21264,152,23,12,44.446383999999995,0.0071482317531978935,0.07894736842105263,0.29241042105263154,253.20999999999998,5.696976383950605,0.17553170885825994
